"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","INSPEC Controlled Terms","INSPEC Non-Controlled Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Variational Autoencoders for Localized Mesh Deformation Component Analysis","Q. Tan; L. -X. Zhang; J. Yang; Y. -K. Lai; L. Gao","University of Maryland, College Park, MD, USA; Beijing Key Laboratory of Mobile Computing and Pervasive Device, Institute of Computing Technology, Chinese Academy of Sciences, Beijing, China; University of Chinese Academy of Sciences, Beijing, China; School of Computer Science & Informatics, Cardiff University, Cardiff, U.K.; University of Chinese Academy of Sciences, Beijing, China","IEEE Transactions on Pattern Analysis and Machine Intelligence","14 Sep 2022","2022","44","10","6297","6310","Spatially localized deformation components are very useful for shape analysis and synthesis in 3D geometry processing. Several methods have recently been developed, with an aim to extract intuitive and interpretable deformation components. However, these techniques suffer from fundamental limitations especially for meshes with noise or large-scale nonlinear deformations, and may not always be able to identify important deformation components. In this paper we propose a mesh-based variational autoencoder architecture that is able to cope with meshes with irregular connectivity and nonlinear deformations, assuming that the analyzed dataset contains meshes with the same vertex connectivity, which is common for deformation analysis. To help localize deformations, we introduce sparse regularization in this framework, along with spectral graph convolutional operations. Through modifying the regularization formulation and allowing dynamic change of sparsity ranges, we improve the visual quality and reconstruction ability of the extracted deformation components. Our system also provides a nonlinear approach to reconstruction of meshes using the extracted basis, which is more effective than the current linear combination approach. As an important application of localized deformation components and a novel approach on its own, we further develop a neural shape editing method, achieving shape editing and deformation component extraction in a unified framework, and ensuring plausibility of the edited shapes. Extensive experiments show that our method outperforms state-of-the-art methods in both qualitative and quantitative evaluations. We also demonstrate the effectiveness of our method for neural shape editing.","1939-3539","","10.1109/TPAMI.2021.3085887","Youth Innovation Promotion Association of the Chinese Academy of Sciences(grant numbers:2019108); National Natural Science Foundation of China(grant numbers:61872440,62061136007); Natural Science Foundation of Beijing Municipality(grant numbers:L182016); Tencent AI Lab Rhino-Bird Focused Research Program(grant numbers:JR202024); Newton Advanced Fellowship from the Royal Society(grant numbers:NAF\R2\192151); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9444875","3D meshes;variational autoencoder;graph convolution;sparsity regularization","Strain;Shape;Three-dimensional displays;Principal component analysis;Geometry;Convolution;Solid modeling","approximation theory;computational geometry;deformation;feature extraction;graph theory;image reconstruction;image representation;iterative methods;medical image processing;mesh generation;solid modelling","extracted deformation components;localized deformation components;neural shape editing method;deformation component extraction;variational autoencoders;localized mesh deformation component;shape analysis;intuitive deformation components;interpretable deformation components;important deformation components;mesh-based variational autoencoder architecture;nonlinear deformations;deformation analysis;regularization formulation;allowing dynamic change","","","","58","IEEE","1 Jun 2021","","","IEEE","IEEE Journals"
"Preservation of Anomalous Subgroups On Variational Autoencoder Transformed Data","S. C. Maina; R. E. Bryant; W. O. Ogallo; K. R. Varshney; S. Speakman; C. Cintas; A. Walcott-Bryant; R. -F. Samoilescu; K. Weldemariam","IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya; IBM Research, Nairobi, Kenya","ICASSP 2020 - 2020 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)","9 Apr 2020","2020","","","3627","3631","We investigate the effect of variational autoencoder (VAE) based data anonymization and its ability to preserve anomalous subgroup properties. We present a Utility Guaranteed Deep Privacy (UGDP) system which casts existing anomalous pattern detection methods as a new utility measure for data synthesis. UGDP's approach shows that properties of an anomalous subset of records, identified in the original data set, are preserved through the anonymization of a VAE. This is despite the newly generated records being completely synthetic. More specifically, the Bias-Scan algorithm identifies a subgroup of records that are consistently over- (or under-) risked by a black-box classifier as an area of 'poor fit'. This scanning process is applied on both pre- and post- VAE synthesized data. The areas of poor fit (i.e. anomalous records) persist in both settings. We evaluate our approach using publicly available datasets from the financial industry. Our evaluation confirmed that the approach is able to produce synthetic datasets that preserved a high level of subgroup differentiation as identified initially in the original dataset. Such a distinction was maintained while having distinctly different records between the synthetic and original dataset.","2379-190X","978-1-5090-6631-5","10.1109/ICASSP40776.2020.9054495","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9054495","privacy;bias;anonymization;variational autoencoder","Data privacy;Conferences;Signal processing algorithms;Signal processing;Classification algorithms;Speech processing;Financial industry","data analysis;data mining;data privacy;learning (artificial intelligence);pattern classification;security of data","anomalous subgroups;variational autoencoder transformed data;variational autoencoder based data anonymization;anomalous subgroup properties;utility guaranteed deep privacy system;anomalous pattern detection methods;utility measure;data synthesis;black-box classifier;scanning process;post- VAE synthesized data;synthetic datasets;subgroup differentiation;different records;UGDP approach;bias-scan algorithm","","","","32","","9 Apr 2020","","","IEEE","IEEE Conferences"
"Jointly Trained Variational Autoencoder for Multi-Modal Sensor Fusion","T. Korthals; M. Hesse; J. Leitner; A. Melnik; U. Rückert","Bielefeld University, Cognitronics & Sensor Systems, Bielefeld, Germany; Bielefeld University, Cognitronics & Sensor Systems, Bielefeld, Germany; Australian Centre for Robotic Vision, Queensland University of Technology, Brisbane, Australia; Bielefeld University, Cognitronics & Sensor Systems, Bielefeld, Germany; Bielefeld University, Cognitronics & Sensor Systems, Bielefeld, Germany","2019 22th International Conference on Information Fusion (FUSION)","27 Feb 2020","2019","","","1","8","This work presents the novel multi-modal Variational Autoencoder approach $\mathbf{M}^{\mathbf{2}}\mathbf{VAE}$ which is derived from the complete marginal joint log-likelihood. This allows the end-to-end training of Bayesian information fusion on raw data for all subsets of a sensor setup. Furthermore, we introduce the concept of in-place fusion – applicable to distributed sensing - where latent embeddings of observations need to be fused with new data. To facilitate in-place fusion even on raw data, we introduced the concept of a re-encoding loss that stabilizes the decoding and makes visualization of latent statistics possible. We also show that the $\mathbf{M}^{\mathbf{2}}\mathbf{VAE}$ finds a coherent latent embedding, such that a single naïve Bayes classifier performs equally well on all permutations of a bi-modal Mixture-of-Gaussians signal. Finally, we show that our approach outperforms current VAE approaches on a bi-modal MNIST & fashion-MNIST data set and works sufficiently well as a preprocessing on a tri-modal simulated camera & LiDAR data set from the Gazebo simulator.","","978-0-9964527-8-6","10.23919/FUSION43075.2019.9011314","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9011314","Multi-Modal Fusion;Deep Generative Model;Variational Autoencoder","Biological system modeling;Encoding;Robot sensing systems;Sensor fusion;Training;Decoding;Laser radar","Bayes methods;belief networks;cameras;decoding;encoding;optical radar;sensor fusion;signal classification","in-place fusion;distributed sensing;latent statistics;M2VAE;coherent latent embedding;jointly trained Variational Autoencoder;multimodal sensor fusion;multimodal variational autoencoder;complete marginal joint log-likelihood;end-to-end training;Bayesian information fusion;trimodal simulated camera;LiDAR data;bimodal MNIST;fashion-MNIST data;bimodal mixture-of-Gaussians signal;single Naive-Bayes classifier;Gazebo simulator;reencoding loss","","","","28","","27 Feb 2020","","","IEEE","IEEE Conferences"
"Using Deconvolutional Variational Autoencoder for Answer Selection in Community Question Answering","G. A. Boroujeni; H. Faili","School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran; School of Electrical and Computer Engineering, College of Engineering, University of Tehran, Tehran, Iran","2020 11th International Conference on Information and Knowledge Technology (IKT)","10 Feb 2021","2020","","","35","39","Answer selection in community question answering is a challenging task in natural language processing. The main problem is that there is no evaluation for the answers given by the users and one should go through all possible answers for assessing them, which is exhausting and time consuming. In this paper we propose a latent-variable model for learning the representations of the question and answer, by jointly optimizing generative and discriminative objectives. This model uses variational autoencoders (VAE) in a multi-task learning process with a classifier to produces a representation for each answer by which the classifier could classify it's relation with correspond question with a high performance. The experimental results on two public datasets, SemEval 2015 and SemEval 2017, recognize the significance of the proposed framework, especially for the semi-supervised setting. The results showed that the proposed model outperformed F1 of state-of-the-art method up to about 8% for SemEval 2015 and about 5% for SemEva1 2017.","","978-1-6654-0441-9","10.1109/IKT51791.2020.9345624","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9345624","community question answering;answer selection;convolutional-deconvolutional;variational autoencoder","Semantics;Tagging;Knowledge discovery;Natural language processing;Task analysis","learning (artificial intelligence);natural language processing;question answering (information retrieval);text analysis;unsupervised learning","correspond question;classifier;multitask learning process;variational autoencoders;latent-variable model;possible answers;natural language processing;community question answering;answer selection;deconvolutional variational autoencoder;SemEval 2017;SemEval 2015","","","","22","","10 Feb 2021","","","IEEE","IEEE Conferences"
"EndoVAE: Generating Endoscopic Images with a Variational Autoencoder","D. E. Diamantis; P. Gatoula; D. K. Iakovidis","Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece; Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece; Department of Computer Science and Biomedical Informatics, University of Thessaly, Lamia, Greece","2022 IEEE 14th Image, Video, and Multidimensional Signal Processing Workshop (IVMSP)","11 Jul 2022","2022","","","1","5","The generalization performance of deep learning models is closely associated with the number and diversity of data available upon training. While in many applications there is a large number of data available in public, in domains such as medical image analysis, the data availability is limited. This can be largely attributed to data privacy legislations, including the General Data Protection Regulation (GDPR), and the cost of data annotation by experts. Aiming to address this issue, data augmentation approaches employing deep generative models have emerged. Existing augmentation techniques are primarily based on Generative Adversarial Networks (GANs). However, ill-posed training issues of GANs such as nonconvergence, mode collapse and instability in conjunction with their demand for large scale training datasets, complicate their use in medical imaging modalities. Motivated by these issues, this paper investigates the performance of alternative generative models i.e., Variational Autoencoders (VAEs) in endoscopic image synthesis tasks. Contrary to the conventional GAN-based approaches that aiming at augmenting the existing endoscopic datasets the proposed methodology constitutes feasible the complete substitution of medical imaging datasets from real individuals with artificially generated ones. The experimental results obtained validate the effectiveness of the proposed methodology over the state-of-art.","","978-1-6654-7822-9","10.1109/IVMSP54334.2022.9816329","European Regional Development Fund; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9816329","Wireless Capsule Endoscopy;Variational Autoencoders;Medical Image Synthesis","Training;Wireless communication;Solid modeling;Image synthesis;Generative adversarial networks;Data models;Task analysis","data privacy;data protection;endoscopes;learning (artificial intelligence);legislation;medical image processing;security of data","EndoVAE;generating endoscopic images;Variational autoencoder;generalization performance;deep learning models;medical image analysis;data availability;data privacy legislations;General Data Protection Regulation;data annotation;data augmentation;deep generative models;augmentation techniques;Generative Adversarial Networks;GANs;ill-posed training issues;mode collapse;instability;scale training datasets;medical imaging modalities;alternative generative models i.e;Variational Autoencoders;endoscopic image synthesis tasks;conventional GAN-based approaches;existing endoscopic datasets;medical imaging datasets;artificially generated ones","","","","24","IEEE","11 Jul 2022","","","IEEE","IEEE Conferences"
"Fault Diagnosis of Machines Using Deep Convolutional Beta-Variational Autoencoder","G. Dewangan; S. Maurya","Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India; Department of Electrical Engineering, Indian Institute of Technology Kanpur, Kanpur, India","IEEE Transactions on Artificial Intelligence","24 Mar 2022","2022","3","2","287","296","Industries are using fault diagnosis methods to prevent any downtime, which eventually led them to make profits and take necessary steps beforehand to avoid any mishaps. In recent years, deep learning methods have shown extraordinary performance in massive data applications with advancement in computing power. In this article, a novel intelligent fault diagnosis scheme based on deep convolutional variable-beta variational autoencoder (VAE) is proposed to extract discriminative features. A new min–max algorithm for data points reduction and a random sampling technique to get 2-D data has been proposed. The proposed fault diagnosis combines all intermediate steps (from preprocessing to classification) in a single framework, and an end-to-end training has been performed. The proposed training method with variable beta uses VAE as a feature extractor and classifier rather than just being a probabilistic generative model, which further improved the performance of the overall model. The proposed scheme reduces the needs of domain/expertise knowledge on time-series data. The proposed method has also been validated in the presence of noise. The proposed approach is validated through two case studies by utilizing rotating machinery datasets: First, on the case western reserve university vibration dataset (VD), and second, on the air compressor acoustic dataset (AD). Highest accuracies obtained are 99.93% and 99.91% on case western reserve university VD and air compressor AD, respectively, using the proposed scheme. Finally, a comparative study has been presented.","2691-4581","","10.1109/TAI.2021.3110835","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9536242","Convolution neural network (CNN);fault diagnosis;variable-beta;variational autoencoder (VAE)","Fault diagnosis;Feature extraction;Convolution;Convolutional neural networks;Machinery;Vibrations;Data models","fault diagnosis;feature extraction;learning (artificial intelligence);machinery;vibrations","intermediate steps;end-to-end training;training method;variable beta;VAE;feature extractor;classifier;probabilistic generative model;time-series data;case western reserve university vibration dataset;case western reserve university VD;deep convolutional beta-variational autoencoder;fault diagnosis methods;deep learning methods;extraordinary performance;massive data applications;computing power;novel intelligent fault diagnosis scheme;variable-beta variational autoencoder;discriminative features;min-max algorithm;data points reduction;random sampling technique","","","","51","IEEE","13 Sep 2021","","","IEEE","IEEE Journals"
"An Anomaly Detection Model for ADS-B Systems Using a LSTM-based Variational Autoencoder","X. Guo; C. Zhu; J. Yang; Y. Xiao","Key Laboratory of Grain Information Processing and Control (Henan University of Technology), Ministry of Education College of Information Science and Engineering, Henan University of Technology, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control (Henan University of Technology), Ministry of Education College of Information Science and Engineering, Henan University of Technology, Zhengzhou, China; Key Laboratory of Grain Information Processing and Control (Henan University of Technology), Ministry of Education College of Information Science and Engineering, Henan University of Technology, Zhengzhou, China; Zhengzhou Locaris Technology Co., Ltd, Zhengzhou, China","2021 IEEE 3rd International Conference on Civil Aviation Safety and Information Technology (ICCASIT)","10 Dec 2021","2021","","","1005","1009","Automatic Dependent Surveillance-Broadcast (ADS-B) is an important part of the next generation air transportation system, but its protocol does not provide relevant authentication and data encryption, so it is extremely vulnerable to various spoofing attacks. Therefore, it is necessary to develop a set of ADS-B data anomaly detection models. According to the strong temporal dependence and fast update rate of ADS-B data, we initiatively introduce a novel anomaly detection model based on variational autoencoder and long short-term memory networks (VAE-LSTM). In the model, we focus on reconstructing the expected distribution of ADS-B data, which is called reconstruction probability. At the same time, to model ADS-B data with the temporal dependence, we use the LSTM networks as the main architecture of the model, which is able to make use of long-term temporal dependence and avoid the vanishing gradient problem during training. Experiments show that the proposed model has a higher area under the receiver operating characteristic curve and the precision-recall curve than the other baseline methods from the literature, and reveal that the model has better performance of anomaly detection of ADS-B data.","","978-1-6654-2518-6","10.1109/ICCASIT53235.2021.9633677","National Natural Science Foundation of China; Henan University; Henan University; Henan University; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9633677","anomaly detection;deep learning;variational autoencoder networks;long short-term memory networks;ADS-B","Training;Protocols;Training data;Detectors;Receivers;Data models;Safety","cryptography;learning (artificial intelligence);recurrent neural nets;telecommunication security;video surveillance","ADS-B systems;LSTM-based variational autoencoder;automatic dependent surveillance-broadcast;next generation air transportation system;relevant authentication;data encryption;ADS-B data anomaly detection models;strong temporal dependence;long short-term memory networks;VAE-LSTM;LSTM networks;long-term temporal dependence;variational autoencoder;reconstruction probability;receiver operating characteristic curve;precision-recall curve","","","","13","IEEE","10 Dec 2021","","","IEEE","IEEE Conferences"
"Spatiotemporal Fusion Network for Land Surface Temperature Based on a Conditional Variational Autoencoder","Y. Chen; Y. Yang; X. Pan; X. Meng; J. Hu","School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China; School of Earth Sciences and Engineering, Hohai University, Nanjing, China","IEEE Transactions on Geoscience and Remote Sensing","28 Jun 2022","2022","60","","1","13","High spatiotemporal resolution land surface temperature (LST) data are essential for dynamic monitoring and prediction in climate change research. Due to the limitations of remote sensing instruments, the current platforms have difficulty in achieving a compromise between high spatial and temporal resolutions for LST products. In this study, we propose a spatiotemporal fusion network for LST based on a conditional variational autoencoder (CVAE-LSTFM). First, an improved network is designed based on the CVAE by reconstructing an encoder and a decoder. To generate fine LST images based on dense time series, a variational inference model is formulated to integrate coarse and fine LST image pairs in variational autoencoded latent space. In addition, a new compound loss function for the proposed training method is designed to reduce the effects of noise and outliers. Then, a pretraining mechanism is adopted to optimize the network training process, and the parameters can be transferred to the training network of the CVAE to accelerate network convergence. Finally, a novel weighting strategy that considers spatiotemporal variations in LST (LST consistency weighting) is employed to solve the spatiotemporal heterogeneity problem caused by the rapid changes in LST. The method is quantitatively tested and evaluated in the Heihe River Basin using FY-4A LST and MODIS LST from September 2019. Compared with two traditional models and two deep learning-based models, CVAE-LSTFM yields lower root-mean-square error (RMSE) (average < 1.26 K) and learning perceptual image patch similarity (LPIPS, average < 0.13) values and higher structural similarity (SSIM, average  $>0.96$ ). In practice, CVAE-LSTFM can generate high spatiotemporal resolution LST values (hourly LST with a 1-km spatial resolution) with high accuracy, quality, and robustness.","1558-0644","","10.1109/TGRS.2022.3183114","General Programs of the National Natural Science Foundation of China(grant numbers:42071346); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9795341","Conditional variational autoencoder (CVAE);convolutional neural network (CNN);land surface temperature (LST);pretraining;spatiotemporal fusion","Spatiotemporal phenomena;Land surface temperature;Spatial resolution;Climate change;Data models;Temperature sensors;Biological system modeling","geophysical image processing;geophysical techniques;image classification;image resolution;land surface temperature;learning (artificial intelligence);mean square error methods;remote sensing;rivers;spatiotemporal phenomena;statistical analysis;time series","deep learning-based models;CVAE-LSTFM yields lower root-mean-square error;high spatiotemporal resolution LST values;hourly LST;spatiotemporal fusion network;conditional variational autoencoder;high spatiotemporal resolution land surface temperature data;high spatial resolutions;temporal resolutions;LST products;improved network;fine LST images;variational inference model;coarse image pairs;fine LST image pairs;variational autoencoded latent space;network training process;training network;network convergence;spatiotemporal variations;LST consistency weighting;spatiotemporal heterogeneity problem","","","","53","IEEE","14 Jun 2022","","","IEEE","IEEE Journals"
"Using Variational Autoencoders to Increase the Performance of Malware Classification","T. Taylor; A. Eleyan","Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, United Kingdom; Department of Computing and Mathematics, Manchester Metropolitan University, Manchester, United Kingdom","2021 International Symposium on Networks, Computers and Communications (ISNCC)","25 Nov 2021","2021","","","1","6","Often complex datasets will have a large number of features for each of its samples. Sometimes, this can have a negative effect on the performance of models trained on the raw data. By reducing the number of features this problem can be avoided. However, this may cause a loss of information. One method to mitigate this is by using a type of unsupervised neural network structure called autoencoders. Autoencoders can be used to generate a reduced feature space which the models can then be trained on. This paper uses Convolutional Variational Autoencoders in order to create these latent features and then determines their effectiveness of improving performance of machine learning classifier models.","","978-1-6654-0304-7","10.1109/ISNCC52172.2021.9615643","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9615643","Machine Learning;Neural Networks;Autoencoders;Variational Autoencoders;Cybersecurity;Malware;Malware Classification","Computers;Computational modeling;Neural networks;Machine learning;Malware;Data models;Bayes methods","invasive software;learning (artificial intelligence);neural nets;pattern classification","malware classification;complex datasets;raw data;unsupervised neural network structure;reduced feature space;Convolutional Variational Autoencoders;latent features;machine learning classifier models","","","","25","IEEE","25 Nov 2021","","","IEEE","IEEE Conferences"
"Anomaly based Resilient Network Intrusion Detection using Inferential Autoencoders","A. Hannan; C. Gruhl; B. Sick","Intelligent Embedded Systems, Universität Kassel Kassel, Germany; Intelligent Embedded Systems, Universität Kassel Kassel, Germany; Intelligent Embedded Systems, Universität Kassel Kassel, Germany","2021 IEEE International Conference on Cyber Security and Resilience (CSR)","6 Sep 2021","2021","","","1","7","This article focuses on the application of conditional variational autoencoders as anomaly detectors to identify emerging threats in computer networks. Autoencoders are machine learning techniques that are used to find lower-dimensional representations, i.e. an encoding in latent space, from input space. With variational Autoencoders (VAE) this representation is not a single code word or vector but a probability distribution – greatly improving the robustness of the coding scheme. In contrast to VAE, we present a conditional variational autoencoder (CVAE), which uses the latent representation to encode regular and malicious network traffic into a bimodal distribution. While regular autoencoders are unsupervised, we require some labeled data to tune the bimodal representations, thus turning the learning problem into a semi-supervised classification task. However, unknown threats (i.e. those not contained in labeled training data) can be detected as well. In our presented case study, based on available computer network datasets (KDD99 and CIC-IDS2017), we could improve the detection of unknown threats compared to conventional approaches. Our experiments are publicly available.","","978-1-6654-0285-9","10.1109/CSR51186.2021.9527980","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9527980","Cyber Security;Anomaly Detection;Resilience;Artificial Intelligence;Network Intrusion Detection;Autoencoders;Variational Autoencoders","Training data;Telecommunication traffic;Turning;Encoding;Computer networks;Robustness;Probability distribution","computer network security;feature extraction;neural nets;pattern classification;probability;supervised learning;unsupervised learning","inferential autoencoders;conditional variational autoencoder;computer network threats;machine learning;probability distribution;malicious network traffic;bimodal distribution;bimodal representations;anomaly based resilient network intrusion detection;unsupervised autoencoders;semi-supervised classification","","","","18","","6 Sep 2021","","","IEEE","IEEE Conferences"
"CVA2E: A Conditional Variational Autoencoder With an Adversarial Training Process for Hyperspectral Imagery Classification","X. Wang; K. Tan; Q. Du; Y. Chen; P. Du","Key Laboratory for Land Environment and Disaster Monitoring of National Administration of Surveying and Geoinformation (NASG), China University of Mining and Technology, Xuzhou, China; Key Laboratory for Land Environment and Disaster Monitoring of National Administration of Surveying and Geoinformation (NASG), China University of Mining and Technology, Xuzhou, China; Department of Electrical and Computer Engineering, Mississippi State University, Mississippi State, USA; Key Laboratory for Land Environment and Disaster Monitoring of National Administration of Surveying and Geoinformation (NASG), China University of Mining and Technology, Xuzhou, China; Key Laboratory for Satellite Mapping Technology and Applications of National Administration of Surveying and Geoinformation (NASG), Nanjing University, Nanjing, China","IEEE Transactions on Geoscience and Remote Sensing","21 Jul 2020","2020","58","8","5676","5692","Deep generative models such as the generative adversarial network (GAN) and the variational autoencoder (VAE) have obtained increasing attention in a wide variety of applications. Nevertheless, the existing methods cannot fully consider the inherent features of the spectral information, which leads to the applications being of low practical performance. In this article, in order to better handle this problem, a novel generative model named the conditional variational autoencoder with an adversarial training process (CVA2E) is proposed for hyperspectral imagery classification by combining variational inference and an adversarial training process in the spectral sample generation. Moreover, two penalty terms are added to promote the diversity and optimize the spectral shape features of the generated samples. The performance on three different real hyperspectral data sets confirms the superiority of the proposed method.","1558-0644","","10.1109/TGRS.2020.2968304","National Natural Science Foundation of China(grant numbers:41871337); Priority Academic Program Development of Jiangsu Higher Education Institutions; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8989966","Generative adversarial network (GAN);hyperspectral image (HSI) classification;variational autoencoder (VAE)","Gallium nitride;Generative adversarial networks;Training;Hyperspectral imaging;Data models;Generators","convolutional neural nets;feature extraction;hyperspectral imaging;image classification;learning (artificial intelligence)","spectral shape features;spectral sample generation;variational inference;generative model;generative adversarial network;deep generative models;hyperspectral imagery classification;adversarial training process;conditional variational autoencoder","","18","","29","IEEE","10 Feb 2020","","","IEEE","IEEE Journals"
"A Multimodal Anomaly Detector for Robot-Assisted Feeding Using an LSTM-Based Variational Autoencoder","D. Park; Y. Hoshi; C. C. Kemp","Healthcare Robotics Lab, Institute for Robotics and Intelligent Machines, Georgia Institute of Technology, Atlanta, GA, USA; Healthcare Robotics Lab, Institute for Robotics and Intelligent Machines, Georgia Institute of Technology, Atlanta, GA, USA; Healthcare Robotics Lab, Institute for Robotics and Intelligent Machines, Georgia Institute of Technology, Atlanta, GA, USA","IEEE Robotics and Automation Letters","23 Feb 2018","2018","3","3","1544","1551","The detection of anomalous executions is valuable for reducing potential hazards in assistive manipulation. Multimodal sensory signals can be helpful for detecting a wide range of anomalies. However, the fusion of high-dimensional and heterogeneous modalities is a challenging problem for model-based anomaly detection. We introduce a long short-term memory-based variational autoencoder (LSTM-VAE) that fuses signals and reconstructs their expected distribution by introducing a progress-based varying prior. Our LSTM-VAE-based detector reports an anomaly when a reconstruction-based anomaly score is higher than a state-based threshold. For evaluations with 1555 robot-assisted feeding executions, including 12 representative types of anomalies, our detector had a higher area under the receiver operating characteristic curve of 0.8710 than 5 other baseline detectors from the literature. We also show the variational autoencoding and state-based thresholding are effective in detecting anomalies from 17 raw sensory signals without significant feature engineering effort.","2377-3766","","10.1109/LRA.2018.2801475","NSF(grant numbers:IIS-1150157); NIDILRR(grant numbers:90RE5016-01-00); Google Faculty Research Award; ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8279425","Failure detection and recovery;deep learning in robotics and automation;assistive robots","Robot sensing systems;Anomaly detection;Hidden Markov models;Detectors;Decoding;Gaussian distribution","assisted living;handicapped aids;learning (artificial intelligence);manipulators;medical robotics;neural nets;sensor fusion;service robots;signal representation;variational techniques","anomalous executions;potential hazards;assistive manipulation;multimodal sensory signals;high-dimensional modalities;heterogeneous modalities;anomaly detection;short-term memory;variational autoencoder;LSTM-VAE;anomaly score;feeding executions;variational autoencoding;multimodal anomaly detector;signal fusion;baseline detectors;raw sensory signals;long short-term memory-based variational autoencoder;1555 robot-assisted feeding execution;receiver operating characteristic curve;state-based thresholding","","155","","36","IEEE","2 Feb 2018","","","IEEE","IEEE Journals"
"Scalable Variational Quantum Circuits for Autoencoder-based Drug Discovery","J. Li; S. Ghosh","Department of Computer Science and Engineering, The Pennsylvania State University; Department of Computer Science and Engineering, The Pennsylvania State University","2022 Design, Automation & Test in Europe Conference & Exhibition (DATE)","19 May 2022","2022","","","340","345","The de novo design of drug molecules is recognized as a time-consuming and costly process, and computational approaches have been applied in each stage of the drug discovery pipeline. Variational autoencoder is one of the computer-aided design methods which explores the chemical space based on an existing molecular dataset. Quantum machine learning has emerged as an atypical learning method that may speed up some classical learning tasks because of its strong expressive power. However, near-term quantum computers suffer from limited num-ber of qubits which hinders the representation learning in high dimensional spaces. We present a scalable quantum generative autoencoder (SQ-VAE) for simultaneously reconstructing and sampling drug molecules, and a corresponding vanilla variant (SQ-AE) for better reconstruction. The architectural strategies in hybrid quantum classical networks such as, adjustable quantum layer depth, heterogeneous learning rates, and patched quantum circuits are proposed to learn high dimensional dataset such as, ligand-targeted drugs. Extensive experimental results are reported for different dimensions including 8x8 and 32x32 after choosing suitable architectural strategies. The performance of quantum generative autoencoder is compared with the corre-sponding classical counterpart throughout all experiments. The results show that quantum computing advantages can be achieved for normalized low-dimension molecules, and that high-dimension molecules generated from quantum generative autoencoders have better drug properties within the same learning period.","1558-1101","978-3-9819263-6-1","10.23919/DATE54114.2022.9774564","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9774564","Quantum Machine Learning;Variational Autoen-coder;Drug Discovery","Drugs;Representation learning;Learning systems;Image synthesis;Qubit;Pipelines;Space exploration","chemistry computing;drugs;learning (artificial intelligence);medical computing;molecular biophysics;neural nets;quantum computing","scalable variational quantum circuits;autoencoder-based drug discovery;drug molecules;drug discovery pipeline;variational autoencoder;computer-aided design methods;chemical space;molecular dataset;quantum machine learning;atypical learning method;near-term quantum computers;representation learning;scalable quantum generative autoencoder;hybrid quantum classical networks;adjustable quantum layer depth;heterogeneous learning rates;patched quantum circuits;ligand-targeted drugs;architectural strategy;quantum computing;low-dimension molecules;high-dimension molecules;drug properties;SQ-VAE;vanilla variant;high dimensional dataset learning","","","","23","","19 May 2022","","","IEEE","IEEE Conferences"
